slug	compliment	tweet_link	date
michael-caputo	Great job	https://twitter.com/realDonaldTrump/status/924966722544848896	2017-10-30T00:00:00Z
jimmy-carter	nice remarks	https://twitter.com/realDonaldTrump/status/924251519121346560	2017-10-28T00:00:00Z
jimmy-carter	Thank you Mr. President!	https://twitter.com/realDonaldTrump/status/924251519121346560	2017-10-28T00:00:00Z
diane-black	highly respected	https://twitter.com/realDonaldTrump/status/923925428372492288	2017-10-27T00:00:00Z
diane-black	did a GREAT job in passing Budget	https://twitter.com/realDonaldTrump/status/923925428372492288	2017-10-27T00:00:00Z
lee-greenwood	great	https://twitter.com/realDonaldTrump/status/923894747793580033	2017-10-27T00:00:00Z
lee-greenwood	You and your beautiful song have made such a difference	https://twitter.com/realDonaldTrump/status/923894747793580033	2017-10-27T00:00:00Z
joy-villa	She has many fans!	https://twitter.com/realDonaldTrump/status/923871062072295427	2017-10-27T00:00:00Z
middle-class-tax-break	great and popular	https://twitter.com/realDonaldTrump/status/922428118685581313	2017-10-23T00:00:00Z
a-place-called-heaven	Great book	https://twitter.com/realDonaldTrump/status/921524504836395008	2017-10-20T00:00:00Z
antonio-guterres	we appreciate all you do!	https://twitter.com/realDonaldTrump/status/921448521617821701	2017-10-20T00:00:00Z
brad-thor	wonderful compliment	https://twitter.com/realDonaldTrump/status/920794597265088512	2017-10-18T00:00:00Z
ed-gillespie	will never let you down!	https://twitter.com/realDonaldTrump/status/919313707355787264	2017-10-14T00:00:00Z
ed-gillespie	Strong on crime	https://twitter.com/realDonaldTrump/status/923551572218572802	2017-10-26T00:00:00Z
ed-gillespie	he might even save our great statues/heritage!	https://twitter.com/realDonaldTrump/status/923551572218572802	2017-10-26T00:00:00Z
ed-gillespie	will be a great Governor	https://twitter.com/realDonaldTrump/status/923552633633337344	2017-10-26T00:00:00Z
ed-gillespie	will totally turn around the high crime and poor economic performance of VA	https://twitter.com/realDonaldTrump/status/927852358209622016	2017-11-07T00:00:00Z
ed-gillespie	MS-13 and crime will be gone	https://twitter.com/realDonaldTrump/status/927852358209622016	2017-11-07T00:00:00Z
us-navy	incredible men and women	https://twitter.com/realDonaldTrump/status/918876603148652544	2017-10-13T00:00:00Z
the-art-of-the-donald	Really good book!	https://twitter.com/realDonaldTrump/status/917724872905777155	2017-10-10T00:00:00Z
christopher-bedford	Highly respected author	https://twitter.com/realDonaldTrump/status/917724872905777155	2017-10-10T00:00:00Z
karen-pence	I am proud	https://twitter.com/realDonaldTrump/status/917091286607433728	2017-10-08T00:00:00Z
puerto-rico	great day in Puerto Rico yesterday	https://twitter.com/realDonaldTrump/status/915523382686478337	2017-10-04T00:00:00Z
puerto-rico	showed great warmth and friendship	https://twitter.com/realDonaldTrump/status/915523382686478337	2017-10-04T00:00:00Z
puerto-rico	wonderful people,  unmatched spirit	https://twitter.com/realDonaldTrump/status/918808798059483136	2017-10-13T00:00:00Z
puerto-rico	I will always be with them!	https://twitter.com/realDonaldTrump/status/918808798059483136	2017-10-13T00:00:00Z
kenneth-mapp	Great meeting	https://twitter.com/realDonaldTrump/status/915335645719121920	2017-10-03T00:00:00Z
team-usa-golf	great @PresidentsCup victory!	https://twitter.com/realDonaldTrump/status/914661855947366406	2017-10-02T00:00:00Z
jennifer-gonzalez-colon	has been wonderful to deal with	https://twitter.com/realDonaldTrump/status/914214237584674816	2017-09-30T00:00:00Z
jennifer-gonzalez-colon	a great representative of the people	https://twitter.com/realDonaldTrump/status/914214237584674816	2017-09-30T00:00:00Z
ricardo-rossello	a great guy and leader who is really working hard	https://twitter.com/realDonaldTrump/status/914208123564494850	2017-09-30T00:00:00Z
jerry-jones	a winner who knows how to get things done	https://twitter.com/realDonaldTrump/status/912997506900021248	2017-09-27T00:00:00Z
jerry-jones	big salute to Jerry Jones	https://twitter.com/realDonaldTrump/status/917568245854605313	2017-10-10T00:00:00Z
roy-moore	a really great guy	https://twitter.com/realDonaldTrump/status/912994446219898880	2017-09-27T00:00:00Z
roy-moore	ran a fantastic race	https://twitter.com/realDonaldTrump/status/912994446219898880	2017-09-27T00:00:00Z
roy-moore	He will help to #MAGA!	https://twitter.com/realDonaldTrump/status/912994446219898880	2017-09-27T00:00:00Z
roy-moore	will always vote with us	https://twitter.com/realDonaldTrump/status/940584383605563392	2017-12-12T00:00:00Z
roy-moore	VOTE ROY MOORE!	https://twitter.com/realDonaldTrump/status/940584383605563392	2017-12-12T00:00:00Z
roy-moore	worked hard but the deck was stacked against him!	https://twitter.com/realDonaldTrump/status/940904649728708609	2017-12-13T00:00:00Z
usain-bolt	one of the greatest runners and athletes of all time	https://twitter.com/realDonaldTrump/status/912848241535971331	2017-09-27T00:00:00Z
us-mission-to-un	wonderful team	https://twitter.com/realDonaldTrump/status/912825663694016522	2017-09-26T00:00:00Z
us-mission-to-un	Keep up the GREAT work!	https://twitter.com/realDonaldTrump/status/912825663694016522	2017-09-26T00:00:00Z
carmen-yulin-cruz	kind words on FEMA etc	https://twitter.com/realDonaldTrump/status/912651215997202432	2017-09-26T00:00:00Z
us-flag	great	https://twitter.com/realDonaldTrump/status/912037003923005440	2017-09-24T00:00:00Z
us-flag	GREAT	https://twitter.com/realDonaldTrump/status/950507353094356993	2018-01-08T00:00:00Z
pittsburgh-penguins	Great team!	https://twitter.com/realDonaldTrump/status/912019957243883520	2017-09-24T00:00:00Z
doug-parker	Fantastic job!	https://twitter.com/realDonaldTrump/status/911287725847908352	2017-09-22T00:00:00Z
bill-cassidy	a class act who really cares about people and their Health(care)	https://twitter.com/realDonaldTrump/status/910671525543645185	2017-09-21T00:00:00Z
bill-cassidy	he doesn't lie-just wants to help people!	https://twitter.com/realDonaldTrump/status/910671525543645185	2017-09-21T00:00:00Z
king-abdullah	GREAT bilateral meeting	https://twitter.com/realDonaldTrump/status/910524897515905025	2017-09-20T00:00:00Z
mexico-city	God bless the people of Mexico City	https://twitter.com/realDonaldTrump/status/910233418474098688	2017-09-19T00:00:00Z
michigan	great State	https://twitter.com/realDonaldTrump/status/909381488445190145	2017-09-17T00:00:00Z
bill-schuette	will be a fantastic Governor	https://twitter.com/realDonaldTrump/status/909189931154771970	2017-09-16T00:00:00Z
bill-schuette	will be a fantastic Governor	https://twitter.com/realDonaldTrump/status/909381488445190145	2017-09-17T00:00:00Z
us-air-force	keeping America PROUD, STRONG and FREE!	https://twitter.com/realDonaldTrump/status/908841360131743744	2017-09-15T00:00:00Z
florida	GREAT STATE	https://twitter.com/realDonaldTrump/status/908406085308096512	2017-09-14T00:00:00Z
dreamers	good, educated and accomplished young people	https://twitter.com/realDonaldTrump/status/908276308265795585	2017-09-14T00:00:00Z
malaysian-delegation	distinguished	https://twitter.com/realDonaldTrump/status/907698529606541312	2017-09-12T00:00:00Z
us-coast-guard	incredible	https://twitter.com/realDonaldTrump/status/906134333467045888	2017-09-08T00:00:00Z
us-coast-guard	We love our Coast Guard!	https://twitter.com/realDonaldTrump/status/906134333467045888	2017-09-08T00:00:00Z
us-coast-guard	incredible men and women	https://twitter.com/realDonaldTrump/status/933831194558582784	2017-11-23T00:00:00Z
andeavor-refinery	incredible hardworking men & women	https://twitter.com/realDonaldTrump/status/905571513398693888	2017-09-06T00:00:00Z
louisiana	Great State	https://twitter.com/realDonaldTrump/status/904176553621307396	2017-09-03T00:00:00Z
louisiana	So much SPIRIT in LA!	https://twitter.com/realDonaldTrump/status/904211620896886785	2017-09-03T00:00:00Z
missouri	a wonderful state	https://twitter.com/realDonaldTrump/status/901795255086968833	2017-08-27T00:00:00Z
missouri	I won by a lot in '16	https://twitter.com/realDonaldTrump/status/901795255086968833	2017-08-27T00:00:00Z
david-a-clark	a great guy	https://twitter.com/realDonaldTrump/status/901772550405070848	2017-08-27T00:00:00Z
first-responders	working great together!	https://twitter.com/realDonaldTrump/status/901411986302488576	2017-08-26T00:00:00Z
first-responders	great	https://twitter.com/realDonaldTrump/status/901531320052051971	2017-08-26T00:00:00Z
first-responders	Wonderful coordination	https://twitter.com/realDonaldTrump/status/901579350662938624	2017-08-26T00:00:00Z
first-responders	A great book	https://twitter.com/realDonaldTrump/status/901772550405070848	2017-08-27T00:00:00Z
first-responders	highly recommended!	https://twitter.com/realDonaldTrump/status/901772550405070848	2017-08-27T00:00:00Z
first-responders	great talent on the ground	https://twitter.com/realDonaldTrump/status/901782823522185218	2017-08-27T00:00:00Z
first-responders	GREAT WORK!	https://twitter.com/realDonaldTrump/status/903778130850131970	2017-09-02T00:00:00Z
first-responders	HEREOS who saved many lives	https://twitter.com/realDonaldTrump/status/904211620896886785	2017-09-03T00:00:00Z
first-responders	has done, and is doing, such a good job	https://twitter.com/realDonaldTrump/status/905383039517282304	2017-09-06T00:00:00Z
first-responders	talented and brave people	https://twitter.com/realDonaldTrump/status/905770927526432768	2017-09-07T00:00:00Z
first-responders	brave people	https://twitter.com/realDonaldTrump/status/906712991940399104	2017-09-10T00:00:00Z
first-responders	amazing people working hard!	https://twitter.com/realDonaldTrump/status/907592460070768641	2017-09-12T00:00:00Z
first-responders	doing a GREAT job in Puerto Rico	https://twitter.com/realDonaldTrump/status/913549374227181568	2017-09-28T00:00:00Z
first-responders	amazing	https://twitter.com/realDonaldTrump/status/913554705816711168	2017-09-29T00:00:00Z
first-responders	have done an amazing job	https://twitter.com/realDonaldTrump/status/914090947180470272	2017-09-30T00:00:00Z
first-responders	doing a GREAT job!	https://twitter.com/realDonaldTrump/status/914210813237489666	2017-09-30T00:00:00Z
first-responders	have done a great job with the almost impossible situation in Puerto Rico	https://twitter.com/realDonaldTrump/status/914465475777695744	2017-10-01T00:00:00Z
first-responders	Fantastic job!	https://twitter.com/realDonaldTrump/status/914467502251528192	2017-10-01T00:00:00Z
first-responders	great job	https://twitter.com/realDonaldTrump/status/915335645719121920	2017-10-03T00:00:00Z
first-responders	So proud	https://twitter.com/realDonaldTrump/status/915351470354108417	2017-10-03T00:00:00Z
first-responders	Our great team	https://twitter.com/realDonaldTrump/status/916665576940097536	2017-10-07T00:00:00Z
first-responders	brave	https://twitter.com/realDonaldTrump/status/920695565578592256	2017-10-18T00:00:00Z
first-responders	We support you!	https://twitter.com/realDonaldTrump/status/920695565578592256	2017-10-18T00:00:00Z
first-responders	HEROES	https://twitter.com/realDonaldTrump/status/924397489037430784	2017-10-28T00:00:00Z
first-responders	We are forever grateful to you for your service, sacrifice and courage	https://twitter.com/realDonaldTrump/status/924397489037430784	2017-10-28T00:00:00Z
first-responders	GREAT	https://twitter.com/realDonaldTrump/status/925833462426292226	2017-11-01T00:00:00Z
first-responders	handled the terrible West Side attack so professionally!	https://twitter.com/realDonaldTrump/status/925833462426292226	2017-11-01T00:00:00Z
first-responders	great men and women	https://twitter.com/realDonaldTrump/status/946156544927977477	2017-12-27T00:00:00Z
marines	brave HEROES	https://twitter.com/realDonaldTrump/status/900850201384157184	2017-08-24T00:00:00Z
marines	BRAVE HEROES	https://twitter.com/realDonaldTrump/status/900875799292776448	2017-08-25T00:00:00Z
ice	incredible men & women	https://twitter.com/realDonaldTrump/status/900768072503623680	2017-08-24T00:00:00Z
ice	We respect & cherish you!	https://twitter.com/realDonaldTrump/status/900768072503623680	2017-08-24T00:00:00Z
ice	Everyone is so grateful!	https://twitter.com/realDonaldTrump/status/950946293077209088	2018-01-10T00:00:00Z
ice	great men and women	https://twitter.com/realDonaldTrump/status/959553606134345728	2018-02-02T00:00:00Z
donald-e-ballard	courageous service	https://twitter.com/realDonaldTrump/status/900521251768213505	2017-08-24T00:00:00Z
donald-e-ballard	YOU INSPIRE US ALL!	https://twitter.com/realDonaldTrump/status/900521251768213505	2017-08-24T00:00:00Z
customs-border-protection	great men and women	https://twitter.com/realDonaldTrump/status/900150814081036288	2017-08-23T00:00:00Z
marty-walsh	Great job	https://twitter.com/realDonaldTrump/status/898990321387925504	2017-08-19T00:00:00Z
confederate-monuments	beautiful	https://twitter.com/realDonaldTrump/status/898169407213645824	2017-08-17T00:00:00Z
confederate-monuments	the beauty that is being taken out of our cities, towns and parks will be greatly missed and never able to be comparably replaced!	https://twitter.com/realDonaldTrump/status/898172999945392131	2017-08-17T00:00:00Z
confederate-monuments	great	https://twitter.com/realDonaldTrump/status/923551572218572802	2017-10-26T00:00:00Z
heather-heyer	beautiful and incredible	https://twitter.com/realDonaldTrump/status/897834894822342656	2017-08-16T00:00:00Z
heather-heyer	a truly special young woman	https://twitter.com/realDonaldTrump/status/897834894822342656	2017-08-16T00:00:00Z
kim-jong-un	made a very wise and well reasoned decision	https://twitter.com/realDonaldTrump/status/897784898865553409	2017-08-16T00:00:00Z
alabama	Great State	https://twitter.com/realDonaldTrump/status/897044700124909569	2017-08-14T00:00:00Z
alabama	Great State	https://twitter.com/realDonaldTrump/status/910480918816739328	2017-09-20T00:00:00Z
alabama	What great people	https://twitter.com/realDonaldTrump/status/911549980946714624	2017-09-23T00:00:00Z
alabama	Great State	https://twitter.com/realDonaldTrump/status/912494675206053888	2017-09-26T00:00:00Z
alabama	great	https://twitter.com/realDonaldTrump/status/940795587733151744	2017-12-13T00:00:00Z
luther-strange	has done a great job	https://twitter.com/realDonaldTrump/status/895091395379245056	2017-08-09T00:00:00Z
luther-strange	He has my complete and total endorsement!	https://twitter.com/realDonaldTrump/status/895091395379245056	2017-08-09T00:00:00Z
luther-strange	strong on Border & Wall, the military, tax cuts & law enforcement	https://twitter.com/realDonaldTrump/status/897044700124909569	2017-08-14T00:00:00Z
luther-strange	doing a great job for the people of Alabama	https://twitter.com/realDonaldTrump/status/897405235924275200	2017-08-15T00:00:00Z
luther-strange	Tough on crime, borders etc.	https://twitter.com/realDonaldTrump/status/897405235924275200	2017-08-15T00:00:00Z
luther-strange	he will be great!	https://twitter.com/realDonaldTrump/status/897429670278385664	2017-08-15T00:00:00Z
luther-strange	a great guy who gets things done!	https://twitter.com/realDonaldTrump/status/909191177810915328	2017-09-16T00:00:00Z
luther-strange	so loyal & helpful to me!	https://twitter.com/realDonaldTrump/status/910480918816739328	2017-09-20T00:00:00Z
luther-strange	Alabama is sooo lucky to have a candidate like Big Luther Strange	https://twitter.com/realDonaldTrump/status/910635327672512512	2017-09-20T00:00:00Z
luther-strange	Smart, tough on crime, borders & trade, loves Vets & Military	https://twitter.com/realDonaldTrump/status/910635327672512512	2017-09-20T00:00:00Z
luther-strange	He won't let you down!	https://twitter.com/realDonaldTrump/status/910665452048838661	2017-09-21T00:00:00Z
luther-strange	has gone up a lot in the polls since I endorsed him a month ago	https://twitter.com/realDonaldTrump/status/910992971620864004	2017-09-21T00:00:00Z
luther-strange	He will be great in D.C.	https://twitter.com/realDonaldTrump/status/910992971620864004	2017-09-21T00:00:00Z
luther-strange	He loves Alabama, and so do I!	https://twitter.com/realDonaldTrump/status/911193223921635335	2017-09-22T00:00:00Z
luther-strange	It was great being with Luther Strange last night in Alabama	https://twitter.com/realDonaldTrump/status/911549980946714624	2017-09-23T00:00:00Z
luther-strange	Vote Luther	https://twitter.com/realDonaldTrump/status/911549980946714624	2017-09-23T00:00:00Z
luther-strange	tough on crime & border - will never let you down!	https://twitter.com/realDonaldTrump/status/912494675206053888	2017-09-26T00:00:00Z
luther-strange	he has proven to me that he will never let you down!	https://twitter.com/realDonaldTrump/status/912670906828443648	2017-09-26T00:00:00Z
luther-strange	ran a good race	http://twitter.com/realDonaldTrump/status/912860336100904960	2017-09-27T00:00:00Z
luther-strange	ran a good race	https://twitter.com/realDonaldTrump/status/912863676792786946	2017-09-27T00:00:00Z
fema	Great work	https://twitter.com/realDonaldTrump/status/893587008312016896	2017-08-04T00:00:00Z
fema	You are doing a great job	https://twitter.com/realDonaldTrump/status/901404330024218624	2017-08-26T00:00:00Z
fema	fantastic people	https://twitter.com/realDonaldTrump/status/901407059547226112	2017-08-26T00:00:00Z
fema	have been amazing (under the most difficult circumstances)	https://twitter.com/realDonaldTrump/status/918432809282342912	2017-10-12T00:00:00Z
new-car-plants	great investment in American manufacturing!	https://twitter.com/realDonaldTrump/status/893411790868160514	2017-08-04T00:00:00Z
white-house	I love the White House	https://twitter.com/realDonaldTrump/status/892920397162848257	2017-08-03T00:00:00Z
white-house	one of the most beautiful buildings (homes) I have ever seen	https://twitter.com/realDonaldTrump/status/892920397162848257	2017-08-03T00:00:00Z
white-house	very special	https://twitter.com/realDonaldTrump/status/897293484884979712	2017-08-15T00:00:00Z
white-house	there is no place like it	https://twitter.com/realDonaldTrump/status/897293484884979712	2017-08-15T00:00:00Z
white-house	never looked more beautiful than it did returning last night	https://twitter.com/realDonaldTrump/status/912281550712135680	2017-09-25T00:00:00Z
john-kelly	a Great American	https://twitter.com/realDonaldTrump/status/891038014314598400	2017-07-28T00:00:00Z
john-kelly	a Great Leader	https://twitter.com/realDonaldTrump/status/891039237319143424	2017-07-28T00:00:00Z
john-kelly	spectacular job	https://twitter.com/realDonaldTrump/status/891039237319143424	2017-07-28T00:00:00Z
john-kelly	a true star of my Administration	https://twitter.com/realDonaldTrump/status/891039237319143424	2017-07-28T00:00:00Z
john-kelly	doing a fantastic job	https://twitter.com/realDonaldTrump/status/901031532164468736	2017-08-25T00:00:00Z
john-kelly	tremendous spirit and talent	https://twitter.com/realDonaldTrump/status/901031532164468736	2017-08-25T00:00:00Z
john-kelly	doing a great job	https://twitter.com/realDonaldTrump/status/903597166249246720	2017-09-01T00:00:00Z
john-kelly	I could not be happier or more impressed	https://twitter.com/realDonaldTrump/status/903597166249246720	2017-09-01T00:00:00Z
john-kelly	doing a fantastic job	https://twitter.com/realDonaldTrump/status/955806333667807232	2018-01-23T00:00:00Z
sean-spicer	a wonderful person	https://twitter.com/realDonaldTrump/status/888575966259314691	2017-07-22T00:00:00Z
sean-spicer	his future is bright!	https://twitter.com/realDonaldTrump/status/888575966259314691	2017-07-22T00:00:00Z
republicans	loyal, terrific & worked really hard	https://twitter.com/realDonaldTrump/status/887279050263285761	2017-07-18T00:00:00Z
trade-deals	will be great	https://twitter.com/realDonaldTrump/status/886259363412926464	2017-07-15T00:00:00Z
us-womens-open	the women are playing great	https://twitter.com/realDonaldTrump/status/886058483392622592	2017-07-15T00:00:00Z
us-womens-open	should be very exciting!	https://twitter.com/realDonaldTrump/status/886058483392622592	2017-07-15T00:00:00Z
us-womens-open	The women played great today	https://twitter.com/realDonaldTrump/status/886421324637380609	2017-07-16T00:00:00Z
us-womens-open	very exciting!	https://twitter.com/realDonaldTrump/status/886691926233239556	2017-07-16T00:00:00Z
france	The friendship between our two nations and ourselves is unbreakable	https://twitter.com/realDonaldTrump/status/885579818875670528	2017-07-13T00:00:00Z
france	Relationship with France stronger than ever	https://twitter.com/realDonaldTrump/status/885769944482414593	2017-07-14T00:00:00Z
emmanuel-macron	beautiful welcome ceremony at Les Invalides today!	https://twitter.com/realDonaldTrump/status/885570979975639040	2017-07-13T00:00:00Z
emmanuel-macron	Great evening	https://twitter.com/realDonaldTrump/status/885769944482414593	2017-07-14T00:00:00Z
emmanuel-macron	Great conversations	https://twitter.com/realDonaldTrump/status/885858247277727746	2017-07-14T00:00:00Z
emmanuel-macron	incredible visit	https://twitter.com/realDonaldTrump/status/885988016912838656	2017-07-14T00:00:00Z
emmanuel-macron	Great bilateral meeting!	https://twitter.com/realDonaldTrump/status/909975689838731264	2017-09-19T00:00:00Z
embassy-staff	dedicated men and women	https://twitter.com/realDonaldTrump/status/885481504780013568	2017-07-13T00:00:00Z
