"insult_slugs","quotes_vec","tweet","tweet_link","date"
"des-moines-register","has no power in Iowa","My response to the failing Des Moines Register, the ultra liberal paper that has no power in Iowa https://t.co/4bEAW1sDzU","https://twitter.com/realDonaldTrump/status/623609561228951552",2015-07-21 21:44:40
"des-moines-register","ultra liberal","The ultra liberal and seriously failing Des Moines Register is BEGGING my team for press credentials to my event in Iowa today-but they lie!","https://twitter.com/realDonaldTrump/status/624931238030262272",2015-07-25 13:16:32
"des-moines-register","seriously failing","The ultra liberal and seriously failing Des Moines Register is BEGGING my team for press credentials to my event in Iowa today-but they lie!","https://twitter.com/realDonaldTrump/status/624931238030262272",2015-07-25 13:16:32
"des-moines-register","they lie","The ultra liberal and seriously failing Des Moines Register is BEGGING my team for press credentials to my event in Iowa today-but they lie!","https://twitter.com/realDonaldTrump/status/624931238030262272",2015-07-25 13:16:32
"des-moines-register","failing","Never get good #'s from failing Des Moines Register/Bloomberg. I think something's going on w/them. Up 13 in IA according to respected CNN.","https://twitter.com/realDonaldTrump/status/675418949547384832",2015-12-11 20:56:40
"des-moines-register","I think something's going on w/them","Never get good #'s from failing Des Moines Register/Bloomberg. I think something's going on w/them. Up 13 in IA according to respected CNN.","https://twitter.com/realDonaldTrump/status/675418949547384832",2015-12-11 20:56:40
"wall-street-journal","ever-dwindling","The ever dwindling @WSJ which is worth about 1/10 of what it was purchased for, is always hitting me politically. Who cares!","https://twitter.com/realDonaldTrump/status/623136587241664512",2015-07-20 14:25:14
"wall-street-journal","looks like a tabloid","Look how small the pages have become @WSJ. Looks like a tabloid—saving money I assume!","https://twitter.com/realDonaldTrump/status/623226932872773632",2015-07-20 20:24:14
"wall-street-journal","loves to write badly about me","The @WSJ Wall Street Journal loves to write badly about me. They better be careful or I will unleash big time on them. Look forward to it!","https://twitter.com/realDonaldTrump/status/660460909761069057",2015-10-31 14:18:46
"wall-street-journal","so wrong, so often","The @WSJ Editorial Board is so wrong, so often. They got info from an incorrect story in another pub. Why not watch and listen to debate.","https://twitter.com/realDonaldTrump/status/664771064988332032",2015-11-12 11:45:47
"wall-street-journal","dummies","When and how are the dummies at the @WSJ going to apologize to me for their totally incorrect Editorial on me. I want ""smart"" trade deals.","https://twitter.com/realDonaldTrump/status/664772537327448064",2015-11-12 11:51:38
"wall-street-journal","so totally wrong","Why wouldn't the @WSJ call for comment or clarification before writing an editorial which is so totally wrong. No wonder it is doing poorly!","https://twitter.com/realDonaldTrump/status/664780488436031489",2015-11-12 12:23:14
"wall-street-journal","so dishonest","Thank you @Forbes for showing the @WSJ was wrong. So dishonest! https://t.co/wOjEXdEkNg","https://twitter.com/realDonaldTrump/status/664906279249420292",2015-11-12 20:43:04
"wall-street-journal","reported 'Cruz momentum' but nothing about the fact that I easily won!","Just won IOWA @CNN Poll BIG: Trump 33% Cruz 20% Rubio 11%, but @WSJ reported ""Cruz momentum"" but nothing about the fact that I easily won!","https://twitter.com/realDonaldTrump/status/674233304682483712",2015-12-08 14:25:21
"wall-street-journal","failing","The failing @WSJ Wall Street Journal should fire both its pollster and its Editorial Board. Seldom has a paper been so wrong.Totally biased!","https://twitter.com/realDonaldTrump/status/701374019644366848",2016-02-21 11:52:51
"wall-street-journal","seldom has a paper been so wrong","The failing @WSJ Wall Street Journal should fire both its pollster and its Editorial Board. Seldom has a paper been so wrong.Totally biased!","https://twitter.com/realDonaldTrump/status/701374019644366848",2016-02-21 11:52:51
"wall-street-journal","bad at math, nobody cares what they say in their editorials anymore, especially me!",".@WSJ is bad at math. The good news is, nobody cares what they say in their editorials anymore, especially me!","https://twitter.com/realDonaldTrump/status/710453513155960834",2016-03-17 13:11:31
"cnn","ratings starved","Ratings starved @CNN and @CNNPolitics does not cover me accurately. Why can't they get it right - it's really not that hard!","https://twitter.com/realDonaldTrump/status/622404796880793600",2015-07-18 13:57:21
"cnn","does not cover me accurately","Ratings starved @CNN and @CNNPolitics does not cover me accurately. Why can't they get it right - it's really not that hard!","https://twitter.com/realDonaldTrump/status/622404796880793600",2015-07-18 13:57:21
"cnn","why can't they get it right","Ratings starved @CNN and @CNNPolitics does not cover me accurately. Why can't they get it right - it's really not that hard!","https://twitter.com/realDonaldTrump/status/622404796880793600",2015-07-18 13:57:21
"cnn","just plain dumb!","The $10 billion (net worth) is AFTER all debt and liabilities. So simple to understand but @CNN &amp; @CNNPolitics is just plain dumb!","https://twitter.com/realDonaldTrump/status/622406423121506304",2015-07-18 14:03:49
"cnn","bad reporters","""@JacoH: @CNN @realDonaldTrump I can't believe how low CNN can go. Obviously a bunch of Killary fans."" @CNN only says negative-bad reporters","https://twitter.com/realDonaldTrump/status/670811363095273473",2015-11-29 03:47:46
"cnn","only says negative","""@JacoH: @CNN @realDonaldTrump I can't believe how low CNN can go. Obviously a bunch of Killary fans."" @CNN only says negative-bad reporters","https://twitter.com/realDonaldTrump/status/670811363095273473",2015-11-29 03:47:46
"cnn","totally one-sided and biased against me that it is becoming boring",".@CNN has to do better reporting if it wants to keep up with the crowd.So totally one-sided and biased against me that it is becoming boring","https://twitter.com/realDonaldTrump/status/670815295091683328",2015-11-29 04:03:24
